+ quasiquotes.term construction.unquote single tree return tree itself: OK, passed 100 tests.
+ quasiquotes.term deconstruction.SI-8350 `new C` and `new C()` are equivalent: OK, proved property.
+ quasiquotes.term deconstruction.SI-8350 new applications extracted only for non-empty ctor calls: OK, proved property.
+ quasiquotes.term deconstruction.SI-8350 original test case: OK, proved property.
+ quasiquotes.term deconstruction.SI-8387 new is not an application: OK, proved property.
+ quasiquotes.type construction.bare idents contain type names: OK, proved property.
+ quasiquotes.type construction.unquote type names into AppliedTypeTree: OK, passed 100 tests.
+ quasiquotes.type construction.tuple type: OK, proved property.
+ quasiquotes.type construction.single-element tuple type: OK, proved property.
+ quasiquotes.type construction.refined type: OK, proved property.
+ quasiquotes.type construction.function type: OK, proved property.
+ quasiquotes.type construction.empty tq: OK, proved property.
+ quasiquotes.type deconstruction.ident(type name): OK, passed 100 tests.
+ quasiquotes.type deconstruction.applied type tree: OK, passed 100 tests.
+ quasiquotes.type deconstruction.tuple type (1): OK, proved property.
+ quasiquotes.type deconstruction.tuple type (2): OK, proved property.
+ quasiquotes.type deconstruction.tuple type (3): OK, proved property.
+ quasiquotes.type deconstruction.tuple type (4): OK, proved property.
+ quasiquotes.type deconstruction.tuple type (5): OK, proved property.
+ quasiquotes.type deconstruction.refined type: OK, proved property.
+ quasiquotes.type deconstruction.function type (1): OK, proved property.
+ quasiquotes.type deconstruction.function type (2): OK, proved property.
+ quasiquotes.type deconstruction.match empty type tree: OK, proved property.
+ quasiquotes.type deconstruction.type select doesn't match term select: OK, proved property.
+ quasiquotes.type deconstruction.applied type doesn't match type appliction: OK, proved property.
+ quasiquotes.pattern construction.unquote bind: OK, passed 100 tests.
+ quasiquotes.pattern construction.unquote name into bind: OK, passed 100 tests.
+ quasiquotes.pattern construction.unquote name and tree into bind: OK, passed 100 tests.
+ quasiquotes.pattern construction.unquote type name into typed: OK, passed 100 tests.
+ quasiquotes.pattern construction.unquote tree into typed: OK, passed 100 tests.
+ quasiquotes.pattern construction.unquote into apply: OK, passed 100 tests.
+ quasiquotes.pattern construction.unquote into casedef: OK, passed 100 tests.
+ quasiquotes.pattern construction.unquote into alternative: OK, passed 100 tests.
+ quasiquotes.pattern deconstruction.extract bind: OK, passed 100 tests.
+ quasiquotes.pattern deconstruction.extract bind and subpattern: OK, passed 100 tests.
+ quasiquotes.pattern deconstruction.extract typed: OK, passed 100 tests.
+ quasiquotes.pattern deconstruction.extract apply: OK, passed 100 tests.
+ quasiquotes.pattern deconstruction.extract apply many: OK, passed 100 tests.
